lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,9,0.024040475487709045,0.8611078262329102,0.055248618784530384
1,0.0001,8.0,1,10,0.02029755339026451,0.6206691265106201,0.0
2,0.00015978449816454933,8.0,1,9,0.015519015491008759,0.7807261943817139,0.055248618784530384
3,0.0002553108585369684,8.0,1,9,0.01969989389181137,0.9550845623016357,0.055248618784530384
4,0.0004079471740728974,8.0,1,10,0.023230478167533875,1.2129831314086914,0.0
5,0.0006518363448688389,8.0,1,10,0.028052210807800293,1.1157960891723633,0.0
6,0.0010415334325028153,8.0,1,10,0.03161302208900452,1.157682180404663,0.0
7,0.0016642089683406285,8.0,1,10,0.03404444456100464,1.1948144435882568,0.0
8,0.0026591479484724943,8.0,1,10,0.035484544932842255,1.115708351135254,0.0
9,0.0042489062049196795,8.0,1,10,0.03751862049102783,1.1429150104522705,0.0
10,0.006789093457013307,8.0,1,9,0.03819859027862549,1.0926203727722168,0.055248618784530384
11,0.010847918910210965,8.0,1,9,0.03641408681869507,1.1145787239074707,0.055248618784530384
12,0.017333292791977824,8.0,1,8,0.04828514903783798,0.7664661407470703,0.10989010989010989
13,0.027695914903053766,8.0,1,6,0.024596378207206726,1.22462797164917,0.37433155080213903
14,0.04425377863992504,8.0,1,4,0.0027673840522766113,1.056684970855713,0.6735751295336787
15,0.07071067811865475,8.0,1,4,0.0019709616899490356,1.3655743598937988,0.625
16,0.11298470218064216,8.0,1,3,0.003940686583518982,1.187732219696045,0.8163265306122449
17,0.1805320393820497,8.0,1,5,0.00823347270488739,1.0146598815917969,0.5759162303664922
18,0.28846221315283466,8.0,1,6,0.012189000844955444,1.0789685249328613,0.37433155080213903
19,0.460917899680609,8.0,1,6,0.012968828901648521,0.9880537986755371,0.37433155080213903
20,0.736475352955242,8.0,1,6,0.01899111270904541,1.0962064266204834,-0.042105263157894736
21,1.1767734468251267,8.0,1,6,0.01886563189327717,1.1154239177703857,0.14736842105263157
22,1.8803015465431967,8.0,1,8,0.021187366917729378,0.9992761611938477,0.10989010989010989
23,3.0044303901243037,8.0,1,5,0.015326306223869324,1.1138927936553955,-0.08376963350785341
24,4.800614021563325,8.0,1,6,0.021223224699497223,1.0934162139892578,-0.06451612903225806
25,7.670637023171956,8.0,1,5,0.02517859637737274,1.0602033138275146,0.03225806451612903
26,12.256488873499423,8.0,1,6,0.012608988210558891,0.7998204231262207,0.07567567567567568
27,19.583969239114857,8.0,1,5,0.011336661875247955,1.1950421333312988,-0.05319148936170213
28,31.292146969419417,8.0,1,5,0.026327067986130714,1.2904245853424072,0.010471204188481676
29,50.0,8.0,1,6,0.017374031245708466,1.0681514739990234,0.0855614973262032
