lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.03165198117494583,0.8389489650726318,0.0
1,0.0001,8.0,1,10,0.03154391795396805,0.7991869449615479,0.0
2,0.00013538761800225446,8.0,1,9,0.030187472701072693,0.8315768241882324,0.055248618784530384
3,0.00018329807108324357,8.0,1,9,0.02871882915496826,0.973677396774292,0.055248618784530384
4,0.0002481628922836826,8.0,1,9,0.027292415499687195,1.036731481552124,0.055248618784530384
5,0.0003359818286283781,8.0,1,9,0.026054605841636658,0.854011058807373,0.055248618784530384
6,0.00045487779470037773,8.0,1,8,0.026947885751724243,0.9594578742980957,0.10989010989010989
7,0.0006158482110660267,8.0,1,8,0.028556406497955322,1.008643627166748,0.10989010989010989
8,0.0008337822234717892,8.0,1,9,0.029051631689071655,1.0099797248840332,0.055248618784530384
9,0.0011288378916846883,8.0,1,9,0.03033590316772461,1.0794644355773926,0.055248618784530384
10,0.0015283067326587688,8.0,1,9,0.03118613362312317,1.2395601272583008,0.055248618784530384
11,0.00206913808111479,8.0,1,9,0.031950339674949646,1.2198162078857422,0.055248618784530384
12,0.002801356761198867,8.0,1,9,0.03172740340232849,0.9190242290496826,0.055248618784530384
13,0.00379269019073225,8.0,1,9,0.03224247694015503,1.234696865081787,0.055248618784530384
14,0.005134832907437549,8.0,1,9,0.0315127819776535,0.9871079921722412,0.055248618784530384
15,0.0069519279617756054,8.0,1,9,0.028803393244743347,1.1668086051940918,0.055248618784530384
16,0.00941204967268067,8.0,1,9,0.02932627499103546,1.2271597385406494,0.055248618784530384
17,0.012742749857031334,8.0,1,9,0.03013692796230316,1.1674745082855225,0.055248618784530384
18,0.017252105499420408,8.0,1,8,0.026573389768600464,1.2827339172363281,0.16393442622950818
19,0.023357214690901212,8.0,1,7,0.005755126476287842,1.2704715728759766,0.21739130434782608
20,0.03162277660168379,8.0,1,6,0.0022492706775665283,1.0418941974639893,0.3225806451612903
21,0.04281332398719392,8.0,1,4,0.0034072622656822205,1.0996739864349365,0.5263157894736842
22,0.05796393953384967,8.0,1,4,0.0032213181257247925,1.1644279956817627,0.5263157894736842
23,0.07847599703514607,8.0,1,3,0.004597432911396027,1.168003797531128,0.8163265306122449
24,0.10624678308940409,8.0,1,4,0.004243277013301849,1.254239797592163,0.5263157894736842
25,0.14384498882876628,8.0,1,8,0.010528232902288437,0.907153844833374,0.16393442622950818
26,0.1947483039908755,8.0,1,7,0.012519165873527527,0.8861696720123291,0.21739130434782608
27,0.26366508987303583,8.0,1,7,0.01279236376285553,0.890117883682251,0.021739130434782608
28,0.35696988468260626,8.0,1,5,0.020125865936279297,1.2972328662872314,0.37433155080213903
29,0.4832930238571752,8.0,1,5,0.017455726861953735,1.3270673751831055,0.03076923076923077
30,0.6543189129712962,8.0,1,4,0.010442852973937988,1.3058979511260986,0.19047619047619047
31,0.8858667904100823,8.0,1,7,0.01884239912033081,1.2922759056091309,-0.06451612903225806
32,1.199353946209233,8.0,1,3,0.02293997071683407,1.2574942111968994,0.19801980198019803
33,1.623776739188721,8.0,1,4,0.011946048587560654,1.2480852603912354,-0.029850746268656716
34,2.1983926488622894,8.0,1,4,0.017125768586993217,1.2688844203948975,-0.03125
35,2.9763514416313193,8.0,1,7,0.019791901111602783,1.1798412799835205,0.03225806451612903
36,4.029611320200396,8.0,1,4,0.018932610750198364,1.0965065956115723,0.08163265306122448
37,5.455594781168514,8.0,1,4,0.022047007456421852,1.1872169971466064,-0.029850746268656716
38,7.386199822079358,8.0,1,5,0.01562611758708954,1.0302069187164307,-0.06153846153846154
39,10.0,8.0,1,7,0.01979256048798561,1.1668615341186523,0.03225806451612903
