lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.2671522796154022,1.0130729675292969,0.0
1,0.0001,8.0,1,10,0.2694441080093384,0.752312183380127,0.0
2,0.00012742749857031334,8.0,1,10,0.2728801369667053,0.7504866123199463,0.0
3,0.0001623776739188721,8.0,1,10,0.2764315605163574,0.7509827613830566,0.0
4,0.00020691380811147902,8.0,1,10,0.27659091353416443,0.7763831615447998,0.0
5,0.00026366508987303583,8.0,1,10,0.27130088210105896,0.8087379932403564,0.0
6,0.0003359818286283781,8.0,1,10,0.26664426922798157,0.7765161991119385,0.0
7,0.00042813323987193956,8.0,1,10,0.262503981590271,0.7542505264282227,0.0
8,0.000545559478116852,8.0,1,10,0.2587762475013733,0.7513070106506348,0.0
9,0.0006951927961775605,8.0,1,10,0.2554328739643097,0.7504503726959229,0.0
10,0.0008858667904100823,8.0,1,10,0.25249820947647095,0.7809712886810303,0.0
11,0.0011288378916846883,8.0,1,10,0.24996808171272278,0.7750506401062012,0.0
12,0.0014384498882876629,8.0,1,10,0.24765290319919586,0.8013274669647217,0.0
13,0.0018329807108324356,8.0,1,10,0.24550595879554749,0.8057882785797119,0.0
14,0.002335721469090121,8.0,1,10,0.24378320574760437,0.908726692199707,0.0
15,0.002976351441631319,8.0,1,10,0.24212247133255005,0.9616281986236572,0.0
16,0.00379269019073225,8.0,1,10,0.2406269758939743,1.344986915588379,0.0
17,0.004832930238571752,8.0,1,10,0.23692761361598969,1.343153953552246,0.0
18,0.00615848211066026,8.0,1,10,0.23376861214637756,1.3439960479736328,0.0
19,0.007847599703514606,8.0,1,10,0.23327894508838654,1.3472683429718018,0.0
20,0.01,8.0,1,10,0.23216260969638824,1.342759132385254,0.0
21,0.012742749857031334,8.0,1,10,0.23405683040618896,1.3438546657562256,0.0
22,0.01623776739188721,8.0,1,10,0.232419952750206,1.3437447547912598,0.0
23,0.0206913808111479,8.0,1,10,0.22261540591716766,1.347043752670288,0.0
24,0.026366508987303583,8.0,1,10,0.2058332860469818,1.3429675102233887,0.0
25,0.03359818286283781,8.0,1,10,0.20492258667945862,1.343602180480957,0.0
26,0.04281332398719392,8.0,1,10,0.21959464251995087,1.3437623977661133,0.0
27,0.05455594781168514,8.0,1,10,0.24038814008235931,1.3460524082183838,0.0
28,0.06951927961775606,8.0,1,10,0.2433912754058838,1.3427331447601318,0.0
29,0.08858667904100823,8.0,1,10,0.294430673122406,1.3414289951324463,0.0
30,0.11288378916846883,8.0,1,10,0.3453995883464813,1.3431546688079834,0.0
31,0.14384498882876628,8.0,1,10,0.35734546184539795,1.3446974754333496,0.0
32,0.18329807108324356,8.0,1,10,0.34642985463142395,1.3465561866760254,0.0
33,0.23357214690901212,8.0,1,10,0.23601233959197998,1.342529535293579,0.0
34,0.29763514416313164,8.0,1,10,0.1517527848482132,1.3404314517974854,0.0
35,0.3792690190732246,8.0,1,10,0.06329721212387085,1.3413770198822021,0.0
36,0.4832930238571752,8.0,1,10,0.028464674949645996,1.3414793014526367,0.0
37,0.615848211066026,8.0,1,8,0.036231786012649536,1.3410968780517578,0.10989010989010989
38,0.7847599703514607,8.0,1,8,0.018469706177711487,1.3454437255859375,0.10989010989010989
39,1.0,8.0,1,7,0.01991470903158188,1.3424901962280273,0.21739130434782608
