lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.2803516983985901,0.2586669921875,0.0
1,0.0001,8.0,10,10,0.2765180468559265,0.25295233726501465,0.0
2,0.00012640883055713373,8.0,10,10,0.27372312545776367,0.2536935806274414,0.0
3,0.00015979192442822145,8.0,10,10,0.27124282717704773,0.25932931900024414,0.0
4,0.00020199110299445384,8.0,10,10,0.26889684796333313,0.25466394424438477,0.0
5,0.0002553345911247446,8.0,10,10,0.2666425108909607,0.2711491584777832,0.0
6,0.00032276547064862866,8.0,10,10,0.26450398564338684,0.2709312438964844,0.0
7,0.00040800405688916016,8.0,10,10,0.2624710202217102,0.27092671394348145,0.0
8,0.0005157531569392505,8.0,10,10,0.2625406086444855,0.2526881694793701,0.0
9,0.0006519575342484052,8.0,10,10,0.265376478433609,0.25304222106933594,0.0
10,0.0008241318947725336,8.0,10,10,0.2679152488708496,0.2524886131286621,0.0
11,0.0010417754904303077,8.0,10,10,0.27043744921684265,0.25642943382263184,0.0
12,0.0013168962144837965,8.0,10,10,0.272892028093338,0.2706162929534912,0.0
13,0.0016646731043801306,8.0,10,10,0.27526766061782837,0.2796483039855957,0.0
14,0.0021042938038460593,8.0,10,10,0.2774510085582733,0.28011417388916016,0.0
15,0.002660013188928029,8.0,10,10,0.279597669839859,0.31288957595825195,0.0
16,0.003362491564789445,8.0,10,10,0.2819155156612396,0.3306856155395508,0.0
17,0.004250486264632604,8.0,10,10,0.2843960225582123,0.3403949737548828,0.0
18,0.005372989980113671,8.0,10,10,0.28696468472480774,0.36652112007141113,0.0
19,0.006791933799813663,8.0,10,10,0.28871944546699524,0.44699573516845703,0.0
20,0.008585604088559148,8.0,10,10,0.29067641496658325,0.4484517574310303,0.0
21,0.010852961724613079,8.0,10,10,0.29286521673202515,0.4493701457977295,0.0
22,0.01371910199689674,8.0,10,10,0.29576006531715393,0.4484517574310303,0.0
23,0.017342156397217548,8.0,10,10,0.29887697100639343,0.4491243362426758,0.0
24,0.021922017095111858,8.0,10,10,0.28078338503837585,0.45081353187561035,0.0
25,0.027711365444465837,8.0,10,10,0.2667534053325653,0.4484372138977051,0.0
26,0.035029612989762926,8.0,10,10,0.2739018201828003,0.4487779140472412,0.0
27,0.04428052412904917,8.0,10,10,0.2895701825618744,0.4532768726348877,0.0
28,0.055974492716100485,8.0,10,10,0.29267042875289917,0.449615478515625,0.0
29,0.07075670165271061,8.0,10,10,0.26446443796157837,0.44992566108703613,0.0
30,0.0894427190999916,8.0,10,10,0.2733352482318878,0.4494493007659912,0.0
31,0.11306349523280158,8.0,10,10,0.30844104290008545,0.4492318630218506,0.0
32,0.14292224211080512,8.0,10,10,0.3435535430908203,0.4510793685913086,0.0
33,0.18066633485830408,8.0,10,10,0.3426383137702942,0.44927024841308594,0.0
34,0.22837820110481744,8.0,10,10,0.23551160097122192,0.44911766052246094,0.0
35,0.2886902132640188,8.0,10,10,0.13622915744781494,0.4502096176147461,0.0
36,0.3649299225199419,8.0,10,10,0.061803221702575684,0.44916319847106934,0.0
37,0.4613036474105127,8.0,10,10,0.019841669127345085,0.45162081718444824,0.0
38,0.5831285460090326,8.0,10,10,0.04239627718925476,0.4489786624908447,0.0
39,0.7371259756548356,8.0,10,10,0.018572647124528885,0.44811272621154785,0.0
40,0.931792325558141,8.0,10,10,0.023213107138872147,0.44873523712158203,0.0
41,1.177867781959165,8.0,10,10,0.019077204167842865,0.450115442276001,0.0
42,1.48892888868383,8.0,10,10,0.022966384887695312,0.4484679698944092,0.0
43,1.882137596012561,8.0,10,10,0.02399769425392151,0.4485042095184326,0.0
44,2.3791881245956286,8.0,10,10,0.015890585258603096,0.4506855010986328,0.0
45,3.0075038850555353,8.0,10,10,0.01134234294295311,0.44832301139831543,0.0
46,3.801750490059066,8.0,10,10,0.024401819333434105,0.45003581047058105,0.0
47,4.8057483351837655,8.0,10,10,0.020084530115127563,0.44971752166748047,0.0
48,6.074890270024722,8.0,10,10,0.01885463297367096,0.44925451278686523,0.0
49,7.679197747967353,8.0,10,10,0.016769524663686752,0.45198869705200195,0.0
50,9.70718406937528,8.0,10,10,0.018970154225826263,0.44901347160339355,0.0
51,12.270737862125678,8.0,10,10,0.015943236649036407,0.4481925964355469,0.0
52,15.511296232244533,8.0,10,10,0.017142757773399353,0.4502849578857422,0.0
53,19.60764817143306,8.0,10,10,0.015716254711151123,0.44896602630615234,0.0
54,24.785798753265745,8.0,10,10,0.021618062630295753,0.4480583667755127,0.0
55,31.33143834824786,8.0,10,10,0.021243145689368248,0.44959402084350586,0.0
56,39.60570481274946,8.0,10,10,0.013217329978942871,0.44927287101745605,0.0
57,50.06510828770702,8.0,10,10,0.014505282044410706,0.4476625919342041,0.0
58,63.28671790365308,8.0,10,10,0.014172196388244629,0.4488983154296875,0.0
59,80.0,8.0,10,10,0.015701651573181152,0.44872426986694336,0.0
