[Run] outdir = outputs/alt_cpu_v3
[Run] Data Version = 3
--- Using device: cpu ---
Lambda values (len=60): [0.00000000e+00 1.00000000e-04 1.26408831e-04 1.59791924e-04
 2.01991103e-04 2.55334591e-04 3.22765471e-04 4.08004057e-04
 5.15753157e-04 6.51957534e-04 8.24131895e-04 1.04177549e-03
 1.31689621e-03 1.66467310e-03 2.10429380e-03 2.66001319e-03
 3.36249156e-03 4.25048626e-03 5.37298998e-03 6.79193380e-03
 8.58560409e-03 1.08529617e-02 1.37191020e-02 1.73421564e-02
 2.19220171e-02 2.77113654e-02 3.50296130e-02 4.42805241e-02
 5.59744927e-02 7.07567017e-02 8.94427191e-02 1.13063495e-01
 1.42922242e-01 1.80666335e-01 2.28378201e-01 2.88690213e-01
 3.64929923e-01 4.61303647e-01 5.83128546e-01 7.37125976e-01
 9.31792326e-01 1.17786778e+00 1.48892889e+00 1.88213760e+00
 2.37918812e+00 3.00750389e+00 3.80175049e+00 4.80574834e+00
 6.07489027e+00 7.67919775e+00 9.70718407e+00 1.22707379e+01
 1.55112962e+01 1.96076482e+01 2.47857988e+01 3.13314383e+01
 3.96057048e+01 5.00651083e+01 6.32867179e+01 8.00000000e+01]
--- [Stage 1] Pretrain NN (regression) ---
[Train] it=  100 | val_mse=0.634991
[Train] it=  200 | val_mse=0.481620

=== [Alt Cycle 1/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=2.87e-01 | T=  0.27s | ARI=0.0000
[ADMM]   2/60 λ= 0.0001 | C2=10 C3=10 | minLinf=2.92e-01 | T=  0.27s | ARI=0.0000
[ADMM]   3/60 λ= 0.0001 | C2=10 C3=10 | minLinf=2.97e-01 | T=  0.27s | ARI=0.0000
[ADMM]   4/60 λ= 0.0002 | C2=10 C3=10 | minLinf=3.01e-01 | T=  0.29s | ARI=0.0000
[ADMM]   5/60 λ= 0.0002 | C2=10 C3=10 | minLinf=3.05e-01 | T=  0.27s | ARI=0.0000
[ADMM]   6/60 λ= 0.0003 | C2=10 C3=10 | minLinf=3.08e-01 | T=  0.29s | ARI=0.0000
[ADMM]   7/60 λ= 0.0003 | C2=10 C3=10 | minLinf=3.11e-01 | T=  0.27s | ARI=0.0000
[ADMM]   8/60 λ= 0.0004 | C2=10 C3=10 | minLinf=3.14e-01 | T=  0.26s | ARI=0.0000
[ADMM]   9/60 λ= 0.0005 | C2=10 C3=10 | minLinf=3.17e-01 | T=  0.27s | ARI=0.0000
[ADMM]  10/60 λ= 0.0007 | C2=10 C3=10 | minLinf=3.19e-01 | T=  0.30s | ARI=0.0000
[ADMM]  11/60 λ= 0.0008 | C2=10 C3=10 | minLinf=3.22e-01 | T=  0.30s | ARI=0.0000
[ADMM]  12/60 λ= 0.0010 | C2=10 C3=10 | minLinf=3.24e-01 | T=  0.30s | ARI=0.0000
[ADMM]  13/60 λ= 0.0013 | C2=10 C3=10 | minLinf=3.26e-01 | T=  0.29s | ARI=0.0000
