[Run] outdir = outputs/alt_cpu_v4
[Run] Data Version = 3
--- Using device: cpu ---
Lambda values (len=60): [0.00000000e+00 1.00000000e-04 1.22341018e-04 1.49673247e-04
 1.83111775e-04 2.24020809e-04 2.74069339e-04 3.35299220e-04
 4.10208479e-04 5.01853230e-04 6.13972351e-04 7.51140025e-04
 9.18952355e-04 1.12425567e-03 1.37542583e-03 1.68270996e-03
 2.05864450e-03 2.51856664e-03 3.08124007e-03 3.76962048e-03
 4.61179207e-03 5.64211338e-03 6.90261895e-03 8.44473430e-03
 1.03313739e-02 1.26395080e-02 1.54633028e-02 1.89179621e-02
 2.31444275e-02 2.83151282e-02 3.46410162e-02 4.23801719e-02
 5.18483337e-02 6.34317794e-02 7.76030847e-02 9.49404040e-02
 1.16151057e-01 1.42100386e-01 1.73847058e-01 2.12686261e-01
 2.60202538e-01 3.18334434e-01 3.89453587e-01 4.76461484e-01
 5.82907830e-01 7.13135374e-01 8.72457078e-01 1.06737287e+00
 1.30583484e+00 1.59757164e+00 1.95448541e+00 2.39113735e+00
 2.92534177e+00 3.57889291e+00 4.37845402e+00 5.35664523e+00
 6.55337432e+00 8.01746486e+00 9.80864814e+00 1.20000000e+01]
--- [Stage 1] Pretrain NN (regression) ---
[Train] it=  100 | val_mse=0.479718
[Train] it=  200 | val_mse=0.431209

=== [Alt Cycle 1/4] ADMM ===
[ADMM]   1/60 λ= 0.0000 | C2=10 C3=10 | minLinf=2.27e-01 | T=  0.41s | ARI=0.0000
[ADMM]   2/60 λ= 0.0001 | C2=10 C3=10 | minLinf=2.27e-01 | T=  0.40s | ARI=0.0000
[ADMM]   3/60 λ= 0.0001 | C2=10 C3=10 | minLinf=2.27e-01 | T=  0.43s | ARI=0.0000
[ADMM]   4/60 λ= 0.0001 | C2=10 C3=10 | minLinf=2.30e-01 | T=  0.40s | ARI=0.0000
[ADMM]   5/60 λ= 0.0002 | C2=10 C3=10 | minLinf=2.34e-01 | T=  0.40s | ARI=0.0000
[ADMM]   6/60 λ= 0.0002 | C2=10 C3=10 | minLinf=2.38e-01 | T=  0.45s | ARI=0.0000
[ADMM]   7/60 λ= 0.0003 | C2=10 C3=10 | minLinf=2.42e-01 | T=  0.42s | ARI=0.0000
[ADMM]   8/60 λ= 0.0003 | C2=10 C3=10 | minLinf=2.45e-01 | T=  0.42s | ARI=0.0000
[ADMM]   9/60 λ= 0.0004 | C2=10 C3=10 | minLinf=2.48e-01 | T=  0.42s | ARI=0.0000
[ADMM]  10/60 λ= 0.0005 | C2=10 C3=10 | minLinf=2.50e-01 | T=  0.43s | ARI=0.0000
[ADMM]  11/60 λ= 0.0006 | C2=10 C3=10 | minLinf=2.53e-01 | T=  0.40s | ARI=0.0000
[ADMM]  12/60 λ= 0.0008 | C2=10 C3=10 | minLinf=2.55e-01 | T=  0.40s | ARI=0.0000
[ADMM]  13/60 λ= 0.0009 | C2=10 C3=10 | minLinf=2.57e-01 | T=  0.40s | ARI=0.0000
