lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,9,0.019441306591033936,2.1120259761810303,0.055248618784530384
1,0.0001,8.0,1,8,0.017682909965515137,2.3188252449035645,0.10989010989010989
2,0.0001518445924339445,8.0,1,8,0.017804846167564392,2.5511019229888916,0.10989010989010989
3,0.0002305678025143074,8.0,1,8,0.018666520714759827,2.536034107208252,0.10989010989010989
4,0.00035010474001175213,8.0,1,7,0.018792033195495605,2.9012317657470703,0.21739130434782608
5,0.0005316151155627665,8.0,1,8,0.01849055290222168,3.123725652694702,0.10989010989010989
6,0.000807228805543526,8.0,1,7,0.018000304698944092,2.999415636062622,0.16393442622950818
7,0.0012257332897869654,8.0,1,5,0.017552852630615234,2.947550058364868,0.47619047619047616
8,0.0018612097182041994,8.0,1,5,0.01743951439857483,2.942854404449463,0.47619047619047616
9,0.0028261463109481365,8.0,1,5,0.01807117462158203,3.0054519176483154,0.47619047619047616
10,0.004291350347446156,8.0,1,6,0.018275737762451172,3.0035290718078613,0.37433155080213903
11,0.006516183444992277,8.0,1,6,0.015970200300216675,3.1681365966796875,0.37433155080213903
12,0.009894472194296698,8.0,1,6,0.0056723058223724365,3.0290331840515137,0.37433155080213903
13,0.015024220976919786,8.0,1,5,0.005493447184562683,2.9991416931152344,0.47619047619047616
14,0.022813467108779066,8.0,1,4,0.0021332651376724243,2.9998860359191895,0.6735751295336787
15,0.03464101615137756,8.0,1,3,0.0012549757957458496,2.996670722961426,0.8163265306122449
16,0.05260050979003619,8.0,1,3,0.0020755380392074585,2.99947452545166,0.8163265306122449
17,0.07987102970885754,8.0,1,4,0.0031721554696559906,2.991028070449829,0.5263157894736842
18,0.12127983953420945,8.0,1,4,0.0019947774708271027,3.0000274181365967,0.625
19,0.18415687804526243,8.0,1,4,0.006780814379453659,2.996877908706665,0.5263157894736842
20,0.27963226090690496,8.0,1,3,0.0067821890115737915,3.002434492111206,0.04807692307692308
21,0.4246064668879146,8.0,1,6,0.011742405593395233,2.994492769241333,-0.0106951871657754
22,0.6447419590941255,8.0,1,10,0.022920407354831696,2.998619794845581,0.0
23,0.979005800037105,8.0,1,2,0.008767485618591309,2.9828760623931885,-0.07655502392344497
24,1.4865673669710213,8.0,1,8,0.014807507395744324,3.0225369930267334,0.01098901098901099
25,2.2572721596331653,8.0,1,8,0.025206219404935837,2.994300603866577,-0.03278688524590164
26,3.42754571091988,8.0,1,8,0.022190924733877182,2.9986298084259033,0.01098901098901099
27,5.204542815233443,8.0,1,5,0.010209158062934875,3.202603578567505,-0.09523809523809523
28,7.902816825841355,8.0,1,6,0.020768187940120697,3.1948535442352295,0.07567567567567568
29,12.0,8.0,1,8,0.01949085295200348,2.996875047683716,0.10989010989010989
