lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.16468244791030884,2.0287232398986816,0.0
1,0.0001,8.0,1,10,0.15920624136924744,2.196326732635498,0.0
2,0.0001518445924339445,8.0,1,10,0.15405422449111938,1.9966628551483154,0.0
3,0.0002305678025143074,8.0,1,10,0.14922988414764404,2.251112222671509,0.0
4,0.00035010474001175213,8.0,1,10,0.14415375888347626,1.9440321922302246,0.0
5,0.0005316151155627665,8.0,1,10,0.13855797052383423,2.0252890586853027,0.0
6,0.000807228805543526,8.0,1,10,0.13958266377449036,2.063037633895874,0.0
7,0.0012257332897869654,8.0,1,10,0.14203287661075592,2.035778522491455,0.0
8,0.0018612097182041994,8.0,1,10,0.14424501359462738,2.175355911254883,0.0
9,0.0028261463109481365,8.0,1,10,0.1430870145559311,2.5181005001068115,0.0
10,0.004291350347446156,8.0,1,10,0.14649128913879395,2.496394395828247,0.0
11,0.006516183444992277,8.0,1,10,0.148183211684227,2.5378522872924805,0.0
12,0.009894472194296698,8.0,1,10,0.15156736969947815,2.4556357860565186,0.0
13,0.015024220976919786,8.0,1,10,0.15617546439170837,2.499591588973999,0.0
14,0.022813467108779066,8.0,1,10,0.15441395342350006,2.601806640625,0.0
15,0.03464101615137756,8.0,1,10,0.1608310341835022,2.5129752159118652,0.0
16,0.05260050979003619,8.0,1,10,0.18650978803634644,2.4837534427642822,0.0
17,0.07987102970885754,8.0,1,10,0.18903860449790955,2.4969141483306885,0.0
18,0.12127983953420945,8.0,1,10,0.11685110628604889,2.48907732963562,0.0
19,0.18415687804526243,8.0,1,10,0.0707283467054367,2.502363443374634,0.0
20,0.27963226090690496,8.0,1,10,0.05118924751877785,2.4955079555511475,0.0
21,0.4246064668879146,8.0,1,10,0.04456460475921631,2.598599672317505,0.0
22,0.6447419590941255,8.0,1,10,0.02479754388332367,2.501488208770752,0.0
23,0.979005800037105,8.0,1,9,0.01258648931980133,2.6033098697662354,0.055248618784530384
24,1.4865673669710213,8.0,1,10,0.03112882375717163,2.5894269943237305,0.0
25,2.2572721596331653,8.0,1,8,0.01982511579990387,2.5274362564086914,-0.03278688524590164
26,3.42754571091988,8.0,1,6,0.02070114016532898,2.4675443172454834,0.07567567567567568
27,5.204542815233443,8.0,1,6,0.014651946723461151,2.4989426136016846,0.14736842105263157
28,7.902816825841355,8.0,1,4,0.02156607061624527,2.6027779579162598,0.08163265306122448
29,12.0,8.0,1,4,0.013227760791778564,2.4931869506835938,0.11398963730569948
