lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.2497655153274536,2.1155853271484375,0.0
1,0.0001,8.0,1,10,0.24871011078357697,2.1922245025634766,0.0
2,0.0001518445924339445,8.0,1,10,0.2491360753774643,2.083829402923584,0.0
3,0.0002305678025143074,8.0,1,10,0.24941127002239227,2.1143176555633545,0.0
4,0.00035010474001175213,8.0,1,10,0.24941463768482208,2.137080192565918,0.0
5,0.0005316151155627665,8.0,1,10,0.2495119720697403,2.5197603702545166,0.0
6,0.000807228805543526,8.0,1,10,0.24967104196548462,2.4466497898101807,0.0
7,0.0012257332897869654,8.0,1,10,0.24980701506137848,2.5218915939331055,0.0
8,0.0018612097182041994,8.0,1,10,0.24966026842594147,2.992385149002075,0.0
9,0.0028261463109481365,8.0,1,10,0.24953779578208923,2.999589443206787,0.0
10,0.004291350347446156,8.0,1,10,0.24926814436912537,2.994074583053589,0.0
11,0.006516183444992277,8.0,1,10,0.2488357126712799,2.9976701736450195,0.0
12,0.009894472194296698,8.0,1,10,0.24865737557411194,2.9988157749176025,0.0
13,0.015024220976919786,8.0,1,10,0.24985209107398987,3.0993781089782715,0.0
14,0.022813467108779066,8.0,1,10,0.2365521788597107,3.0149693489074707,0.0
15,0.03464101615137756,8.0,1,10,0.23086245357990265,2.9843263626098633,0.0
16,0.05260050979003619,8.0,1,10,0.20703409612178802,2.993394613265991,0.0
17,0.07987102970885754,8.0,1,10,0.22363048791885376,2.974437713623047,0.0
18,0.12127983953420945,8.0,1,10,0.2731092870235443,2.917703866958618,0.0
19,0.18415687804526243,8.0,1,10,0.24310515820980072,2.8943538665771484,0.0
20,0.27963226090690496,8.0,1,10,0.19126342236995697,2.9938552379608154,0.0
21,0.4246064668879146,8.0,1,10,0.13255451619625092,2.9097864627838135,0.0
22,0.6447419590941255,8.0,1,10,0.05400436744093895,2.9736063480377197,0.0
23,0.979005800037105,8.0,1,8,0.025425754487514496,2.8124027252197266,0.10989010989010989
24,1.4865673669710213,8.0,1,7,0.02331756055355072,2.9089643955230713,-0.07608695652173914
25,2.2572721596331653,8.0,1,7,0.013086214661598206,2.878877639770508,0.021739130434782608
26,3.42754571091988,8.0,1,5,0.01744590699672699,2.811457395553589,0.13829787234042554
27,5.204542815233443,8.0,1,5,0.014357291162014008,2.897184133529663,0.0
28,7.902816825841355,8.0,1,6,0.017055297270417213,2.997083902359009,-0.11891891891891893
29,12.0,8.0,1,6,0.010840386152267456,3.0138518810272217,-0.042105263157894736
