lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,7,0.015852496027946472,2.1265909671783447,0.21739130434782608
1,0.0001,8.0,1,9,0.011180981993675232,2.1263387203216553,0.055248618784530384
2,0.0001518445924339445,8.0,1,8,0.01503879576921463,2.2403061389923096,0.10989010989010989
3,0.0002305678025143074,8.0,1,9,0.01818549633026123,2.5004537105560303,0.055248618784530384
4,0.00035010474001175213,8.0,1,8,0.021377384662628174,2.8272321224212646,0.16393442622950818
5,0.0005316151155627665,8.0,1,8,0.026239991188049316,2.6227498054504395,0.16393442622950818
6,0.000807228805543526,8.0,1,9,0.02988232672214508,2.496089220046997,0.055248618784530384
7,0.0012257332897869654,8.0,1,9,0.02978133037686348,2.60050368309021,0.055248618784530384
8,0.0018612097182041994,8.0,1,8,0.031107470393180847,2.5006778240203857,0.16393442622950818
9,0.0028261463109481365,8.0,1,7,0.030390113592147827,2.6987500190734863,0.3225806451612903
10,0.004291350347446156,8.0,1,8,0.031130246818065643,2.498483419418335,0.16393442622950818
11,0.006516183444992277,8.0,1,9,0.03575747460126877,2.4970223903656006,0.055248618784530384
12,0.009894472194296698,8.0,1,8,0.03817444294691086,2.5906641483306885,0.16393442622950818
13,0.015024220976919786,8.0,1,7,0.02968575805425644,2.6985111236572266,0.21739130434782608
14,0.022813467108779066,8.0,1,5,0.008695974946022034,2.49983549118042,0.47619047619047616
15,0.03464101615137756,8.0,1,2,0.003098897635936737,2.5019993782043457,1.0
16,0.05260050979003619,8.0,1,2,0.0022883862257003784,2.4977738857269287,1.0
17,0.07987102970885754,8.0,1,2,0.0025726407766342163,2.592219829559326,1.0
18,0.12127983953420945,8.0,1,3,0.003513449802994728,2.4985971450805664,0.8163265306122449
19,0.18415687804526243,8.0,1,3,0.00850607454776764,2.50020170211792,0.7216494845360825
20,0.27963226090690496,8.0,1,4,0.006283685564994812,2.596189260482788,0.5263157894736842
21,0.4246064668879146,8.0,1,4,0.008747205138206482,2.497835636138916,-0.042105263157894736
22,0.6447419590941255,8.0,1,7,0.01583658903837204,2.501542091369629,0.16393442622950818
23,0.979005800037105,8.0,1,5,0.01222364604473114,2.4953439235687256,0.0
24,1.4865673669710213,8.0,1,4,0.018267005681991577,2.4979724884033203,-0.01020408163265306
25,2.2572721596331653,8.0,1,5,0.02264373004436493,2.5004701614379883,-0.05319148936170213
26,3.42754571091988,8.0,1,4,0.021701708436012268,2.4978737831115723,-0.07253886010362694
27,5.204542815233443,8.0,1,3,0.019193679094314575,2.4976115226745605,-0.038461538461538464
28,7.902816825841355,8.0,1,4,0.017855316400527954,2.599663019180298,-0.07253886010362694
29,12.0,8.0,1,5,0.016413182020187378,2.606217384338379,0.0
