lambda_index,lambda,rho,clusters_2d,clusters_3d,min_linf,time_sec,ari_round3
0,0.0,8.0,10,10,0.17727719247341156,0.45943140983581543,0.0
1,0.0001,8.0,10,10,0.17566442489624023,0.2900991439819336,0.0
2,0.0001518445924339445,8.0,10,10,0.17578735947608948,0.30911827087402344,0.0
3,0.0002305678025143074,8.0,10,10,0.17608210444450378,0.28787660598754883,0.0
4,0.00035010474001175213,8.0,10,10,0.17644529044628143,0.3185591697692871,0.0
5,0.0005316151155627665,8.0,10,10,0.17689120769500732,0.3086535930633545,0.0
6,0.000807228805543526,8.0,10,10,0.1774119883775711,0.32856178283691406,0.0
7,0.0012257332897869654,8.0,10,10,0.1780010610818863,0.42744874954223633,0.0
8,0.0018612097182041994,8.0,10,10,0.1786889135837555,0.4530158042907715,0.0
9,0.0028261463109481365,8.0,10,10,0.17941954731941223,0.5126879215240479,0.0
10,0.004291350347446156,8.0,10,10,0.1802809089422226,0.5122556686401367,0.0
11,0.006516183444992277,8.0,10,10,0.18124708533287048,0.512481689453125,0.0
12,0.009894472194296698,8.0,10,10,0.18386735022068024,0.5121562480926514,0.0
13,0.015024220976919786,8.0,10,10,0.1883072704076767,0.5127203464508057,0.0
14,0.022813467108779066,8.0,10,10,0.1943957507610321,0.511854887008667,0.0
15,0.03464101615137756,8.0,10,10,0.2092060148715973,0.5119040012359619,0.0
16,0.05260050979003619,8.0,10,10,0.2068907618522644,0.515815019607544,0.0
17,0.07987102970885754,8.0,10,10,0.2103806734085083,0.5156099796295166,0.0
18,0.12127983953420945,8.0,10,10,0.21889467537403107,0.5190365314483643,0.0
19,0.18415687804526243,8.0,10,10,0.16448266804218292,0.5164034366607666,0.0
20,0.27963226090690496,8.0,10,10,0.09329798072576523,0.5121283531188965,0.0
21,0.4246064668879146,8.0,10,10,0.009833678603172302,0.511725664138794,0.0
22,0.6447419590941255,8.0,10,10,0.011982612311840057,0.5114667415618896,0.0
23,0.979005800037105,8.0,10,10,0.020857028663158417,0.5128650665283203,0.0
24,1.4865673669710213,8.0,10,10,0.024290353059768677,0.5130171775817871,0.0
25,2.2572721596331653,8.0,10,10,0.011826574802398682,0.5125854015350342,0.0
26,3.42754571091988,8.0,10,10,0.011617384850978851,0.5123236179351807,0.0
27,5.204542815233443,8.0,10,10,0.023911764845252037,0.5119397640228271,0.0
28,7.902816825841355,8.0,10,10,0.020393237471580505,0.5130534172058105,0.0
29,12.0,8.0,10,10,0.009761940687894821,0.5122425556182861,0.0
